village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
143688,0.155,0.06,0.0,0.241,0.0,0.543,0.0,0.0,0.0,0.517,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.974,0.0,0.0
143703,0.564,0.0,0.09,0.0,0.0,0.333,0.006,0.006,0.0,0.436,0.558,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.276,0.224,0.0,0.0,0.5,0.0,0.0
122957,0.007,0.0,0.017,0.029,0.934,0.01,0.002,0.0,0.0,0.433,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.076,0.002,0.0,0.66,0.007,0.0
122905,0.09,0.0,0.0,0.019,0.717,0.172,0.0,0.0,0.002,0.127,0.872,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.941,0.014,0.0
122907,0.036,0.0,0.007,0.007,0.946,0.004,0.0,0.0,0.0,0.255,0.73,0.007,0.004,0.0,0.004,0.0,0.0,0.004,0.237,0.007,0.007,0.004,0.662,0.079,0.0
143689,0.37,0.0,0.104,0.096,0.022,0.4,0.0,0.007,0.0,0.23,0.763,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.852,0.022,0.0
122912,0.131,0.0,0.0,0.016,0.841,0.012,0.0,0.0,0.0,0.719,0.275,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.012,0.034,0.0,0.0,0.9,0.053,0.0
122913,0.206,0.003,0.022,0.0,0.716,0.025,0.0,0.0,0.028,0.159,0.838,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.066,0.0
122914,0.0,0.007,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.66,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.967,0.02,0.0
122916,0.016,0.0,0.007,0.003,0.935,0.029,0.01,0.0,0.0,0.418,0.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,0.0
122918,0.066,0.002,0.007,0.008,0.91,0.005,0.0,0.0,0.003,0.35,0.648,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.008,0.025,0.002,0.0,0.924,0.041,0.0
122920,0.179,0.011,0.0,0.022,0.659,0.128,0.0,0.0,0.0,0.223,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.011,0.0,0.0,0.704,0.022,0.0
122921,0.05,0.0,0.0,0.008,0.79,0.134,0.0,0.017,0.0,0.286,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.017,0.0,0.95,0.025,0.0
122922,0.056,0.0,0.0,0.007,0.935,0.002,0.0,0.0,0.0,0.016,0.984,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.218,0.002,0.0,0.0,0.775,0.0,0.0
122923,0.07,0.0,0.0,0.0,0.683,0.231,0.016,0.0,0.0,0.091,0.898,0.005,0.0,0.005,0.0,0.0,0.0,0.011,0.07,0.0,0.0,0.0,0.914,0.005,0.0
122924,0.159,0.008,0.018,0.01,0.717,0.086,0.0,0.003,0.0,0.344,0.645,0.003,0.0,0.008,0.0,0.0,0.0,0.002,0.067,0.006,0.0,0.0,0.916,0.01,0.0
122925,0.135,0.0,0.007,0.0,0.837,0.018,0.002,0.0,0.0,0.113,0.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,0.0,0.0
122926,0.036,0.0,0.0,0.002,0.941,0.015,0.0,0.002,0.004,0.385,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.476,0.0,0.0,0.495,0.004,0.002
143709,0.402,0.0,0.578,0.008,0.012,0.0,0.0,0.0,0.0,0.004,0.992,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.056,0.912,0.0,0.0
122929,0.016,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122932,0.043,0.0,0.018,0.025,0.914,0.0,0.0,0.0,0.0,0.335,0.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932,0.068,0.0
122933,0.043,0.0,0.016,0.027,0.896,0.014,0.002,0.0,0.002,0.33,0.665,0.002,0.0,0.002,0.0,0.0,0.0,0.002,0.054,0.014,0.0,0.0,0.928,0.002,0.0
122935,0.011,0.0,0.0,0.022,0.963,0.0,0.0,0.0,0.004,0.346,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,0.0
122936,0.103,0.007,0.0,0.014,0.869,0.007,0.0,0.0,0.0,0.255,0.738,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.966,0.021,0.0
122938,0.032,0.0,0.0,0.023,0.936,0.005,0.0,0.005,0.0,0.391,0.605,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.532,0.005,0.0,0.0,0.464,0.0,0.0
143711,0.431,0.0,0.143,0.032,0.012,0.376,0.0,0.006,0.0,0.359,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.073,0.003,0.006,0.003,0.91,0.003,0.0
122942,0.005,0.0,0.0,0.026,0.844,0.125,0.0,0.0,0.0,0.479,0.505,0.0,0.01,0.005,0.0,0.0,0.0,0.0,0.109,0.005,0.0,0.0,0.885,0.0,0.0
122944,0.045,0.0,0.0,0.019,0.907,0.019,0.007,0.0,0.004,0.465,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.985,0.007,0.0
143712,0.232,0.004,0.091,0.055,0.012,0.588,0.01,0.003,0.004,0.306,0.69,0.0,0.001,0.0,0.003,0.0,0.002,0.0,0.004,0.007,0.002,0.005,0.963,0.017,0.0
122946,0.056,0.0,0.0,0.017,0.919,0.009,0.0,0.0,0.0,0.073,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.0,0.585,0.009,0.0
122947,0.113,0.0,0.024,0.024,0.837,0.0,0.0,0.0,0.003,0.312,0.685,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.066,0.0,0.0,0.874,0.058,0.0
122948,0.075,0.0,0.086,0.006,0.825,0.008,0.0,0.0,0.0,0.661,0.331,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.394,0.0,0.0,0.367,0.225,0.0
122951,0.048,0.0,0.018,0.012,0.905,0.006,0.006,0.0,0.006,0.179,0.821,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.363,0.0,0.0,0.0,0.607,0.006,0.0
122952,0.038,0.005,0.0,0.019,0.938,0.0,0.0,0.0,0.0,0.192,0.803,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.014,0.0,0.005,0.0,0.981,0.0,0.0
122953,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.207,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.06,0.0
122954,0.194,0.006,0.006,0.024,0.612,0.121,0.006,0.018,0.012,0.079,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0
122955,0.179,0.001,0.016,0.027,0.739,0.036,0.001,0.001,0.0,0.387,0.601,0.002,0.009,0.0,0.001,0.001,0.0,0.0,0.217,0.011,0.003,0.0,0.722,0.043,0.002
122956,0.026,0.004,0.015,0.022,0.897,0.033,0.0,0.004,0.0,0.638,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.854,0.131,0.0
143714,0.351,0.003,0.113,0.051,0.022,0.437,0.004,0.008,0.01,0.197,0.788,0.007,0.0,0.006,0.001,0.002,0.001,0.0,0.02,0.009,0.003,0.02,0.944,0.001,0.0
122958,0.02,0.0,0.0,0.006,0.973,0.0,0.0,0.002,0.0,0.088,0.902,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.112,0.207,0.0,0.0,0.673,0.008,0.0
122959,0.022,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.196,0.804,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.986,0.007,0.0
122960,0.127,0.0,0.017,0.004,0.771,0.068,0.004,0.008,0.0,0.208,0.775,0.004,0.0,0.013,0.0,0.013,0.0,0.0,0.0,0.004,0.0,0.0,0.979,0.004,0.0
122961,0.029,0.006,0.002,0.058,0.849,0.05,0.0,0.006,0.0,0.409,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.002,0.0,0.0,0.712,0.014,0.0
122962,0.182,0.015,0.053,0.028,0.712,0.007,0.0,0.004,0.0,0.439,0.451,0.004,0.0,0.0,0.106,0.152,0.0,0.0,0.064,0.018,0.002,0.0,0.587,0.176,0.0
143715,0.093,0.0,0.006,0.185,0.0,0.716,0.0,0.0,0.0,0.506,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.093,0.0,0.037,0.809,0.0,0.0
122966,0.066,0.0,0.001,0.006,0.925,0.001,0.0,0.0,0.0,0.183,0.815,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.004,0.001,0.0,0.814,0.005,0.0
122967,0.09,0.005,0.002,0.015,0.828,0.06,0.0,0.0,0.0,0.112,0.888,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.124,0.055,0.0,0.0,0.815,0.004,0.0
122968,0.038,0.0,0.004,0.015,0.935,0.008,0.0,0.0,0.0,0.678,0.314,0.0,0.004,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.011,0.0,0.969,0.015,0.0
143716,0.225,0.039,0.315,0.051,0.0,0.371,0.0,0.0,0.0,0.051,0.944,0.0,0.006,0.0,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.983,0.0,0.0
143691,0.231,0.004,0.139,0.11,0.004,0.505,0.0,0.007,0.0,0.238,0.758,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.264,0.004,0.088,0.216,0.004,0.0
122971,0.017,0.0,0.008,0.025,0.95,0.0,0.0,0.0,0.0,0.278,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.008,0.004,0.0,0.739,0.033,0.0
122974,0.025,0.006,0.0,0.0,0.969,0.0,0.0,0.0,0.0,0.896,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.006,0.0,0.0,0.859,0.067,0.0
122976,0.011,0.0,0.011,0.013,0.887,0.073,0.002,0.002,0.0,0.451,0.542,0.004,0.0,0.0,0.002,0.0,0.0,0.0,0.016,0.007,0.002,0.0,0.956,0.02,0.0
122977,0.02,0.002,0.0,0.017,0.862,0.094,0.002,0.0,0.003,0.834,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.034,0.0,0.002,0.849,0.042,0.002
122979,0.005,0.0,0.005,0.016,0.866,0.103,0.001,0.005,0.0,0.53,0.411,0.002,0.043,0.009,0.005,0.0,0.0,0.0,0.181,0.012,0.002,0.0,0.69,0.114,0.0
122980,0.031,0.0,0.066,0.036,0.857,0.0,0.0,0.005,0.005,0.653,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.194,0.0,0.0,0.612,0.046,0.0
143718,0.342,0.0,0.0,0.04,0.0,0.597,0.0,0.02,0.0,0.027,0.966,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.074,0.007,0.007,0.899,0.0,0.0
122984,0.091,0.021,0.0,0.018,0.83,0.041,0.0,0.0,0.0,0.595,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.003,0.0,0.0,0.545,0.026,0.0
122985,0.045,0.0,0.006,0.022,0.911,0.011,0.006,0.0,0.0,0.659,0.33,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.011,0.0,0.0,0.279,0.006,0.0
122986,0.011,0.0,0.0,0.034,0.955,0.0,0.0,0.0,0.0,0.642,0.347,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.023,0.006,0.0,0.0,0.92,0.051,0.0
122987,0.031,0.005,0.0,0.067,0.756,0.083,0.052,0.0,0.005,0.896,0.098,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.005,0.0,0.979,0.0,0.0
122991,0.077,0.0,0.0,0.009,0.915,0.0,0.0,0.0,0.0,0.613,0.387,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.332,0.043,0.017,0.0,0.523,0.077,0.0
143720,0.191,0.0,0.118,0.02,0.105,0.566,0.0,0.0,0.0,0.178,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
143760,0.444,0.003,0.132,0.019,0.089,0.307,0.0,0.005,0.001,0.234,0.761,0.005,0.0,0.0,0.0,0.0,0.003,0.003,0.012,0.004,0.011,0.078,0.886,0.004,0.0
122995,0.038,0.006,0.013,0.013,0.931,0.0,0.0,0.0,0.0,0.258,0.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.723,0.063,0.0
122996,0.048,0.0,0.0,0.149,0.667,0.131,0.0,0.006,0.0,0.78,0.179,0.03,0.0,0.006,0.006,0.435,0.0,0.0,0.524,0.024,0.0,0.0,0.018,0.0,0.0
122997,0.029,0.0,0.127,0.019,0.638,0.18,0.001,0.001,0.006,0.819,0.177,0.0,0.0,0.0,0.004,0.001,0.0,0.0,0.177,0.007,0.004,0.0,0.783,0.027,0.0
122998,0.059,0.004,0.128,0.041,0.692,0.065,0.002,0.005,0.005,0.78,0.172,0.047,0.0,0.001,0.0,0.005,0.004,0.0,0.147,0.091,0.005,0.001,0.579,0.168,0.001
123000,0.057,0.0,0.043,0.024,0.853,0.024,0.0,0.0,0.0,0.451,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945,0.055,0.0
123001,0.082,0.0,0.003,0.018,0.798,0.083,0.0,0.013,0.003,0.346,0.606,0.002,0.002,0.0,0.045,0.0,0.0,0.003,0.011,0.006,0.008,0.0,0.954,0.018,0.0
123002,0.015,0.003,0.0,0.006,0.973,0.003,0.0,0.0,0.0,0.604,0.384,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.101,0.006,0.003,0.0,0.866,0.024,0.0
