region_code,region_name,tehsil_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
135851,Chholabari,800,421.0,27.8663164,80.1344842,27.877,80.14148,27.8594699,80.11369
215382,Hodalpur,1010,573.0,27.8694438,78.7291986,27.8735599,78.73726,27.86155,78.7204699
215430,Sewar,1010,324.0,24.826244,78.2945939,24.83537,78.3091701,24.8171,78.2845201
135853,Sarauniya,800,161.0,27.8541676,80.1470451,27.8617399,80.1587798,27.8489399,80.1412999
135854,Barhaiya,800,485.0,27.4987013,80.524397,27.5087501,80.5447,27.4802301,80.51067
215385,Himaunpur,1010,211.0,27.8586486,78.7561222,27.8706901,78.7632599,27.85179,78.73725
135855,Kallua,800,455.0,27.8585074,80.1065646,27.8736501,80.1216001,27.84975,80.09244
135915,Jamiraha,800,219.0,27.8388025,80.1902375,27.8511599,80.19929,27.8356799,80.18199
215388,Dewari Prahladpur,1010,843.0,27.8375701,78.7107731,27.85725,78.7212599,27.82918,78.7007401
215390,Udher Pukhta,1010,527.0,27.9157931,78.8184432,27.9262199,78.83677,27.8993601,78.8003199
135860,Pandebari,800,166.0,27.8621673,80.1777417,27.86534,80.18373,27.85612,80.1677501
215515,Tilsai Khurd,1010,269.0,27.7469965,78.6469659,27.75718,78.6546301,27.73739,78.63879
135575,Chhatia Saraiyan,800,279.0,27.9801276,80.1247134,27.9886599,80.1324701,27.97415,80.1188399
135523,Parsar,800,517.0,28.1533291,80.2572225,28.1659501,80.27207,28.13906,80.2400399
215396,Tumaria,1010,453.0,28.746136,79.0955723,28.75765,79.1055101,28.73793,79.08412
215501,Dilawali,1010,126.0,27.7785725,78.6441291,27.78364,78.6508901,27.76967,78.63777
135866,Ekghra,800,100.0,27.8375651,80.1582088,27.84396,80.1637099,27.8325601,80.15267
135525,Mundanizam,800,532.0,28.1355531,80.2516473,28.1456,80.2633801,28.12564,80.2382
135526,Laukikhera,800,304.0,28.1251605,80.2683718,28.13413,80.28531,28.11589,80.25663
215399,Bahadur Nagar,1010,208.0,27.8804476,78.757539,27.88493,78.76554,27.8743,78.7488301
135781,Chauganpur,800,370.0,28.5585562,77.4730653,28.566004,77.4817181,28.5463641,77.4491611
215401,Shyam Sar,1010,677.0,27.8605083,78.7787889,27.87013,78.7878901,27.85109,78.7610501
135871,Sunauriya,800,225.0,27.8245616,80.1386714,27.83162,80.14653,27.81802,80.1298901
