village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
143688,Dharmawat Khera,822,114.0,26.7045146,81.0133491,26.7116301,81.0180099,26.6979201,81.01033
143703,Bheelam Pur,822,160.0,26.6124501,80.9442732,26.62024,80.9509,26.60703,80.93861
122957,Larauta,757,416.0,27.7296032,78.0509282,27.7382401,78.0637001,27.7179201,78.03275
122905,Vigheypur,757,576.0,27.7569879,78.0338078,27.7711799,78.0495499,27.74613,78.02144
122907,Sighar,757,276.0,27.7705304,78.0566344,27.7845,78.07516,27.76385,78.04411
143689,Dharamgad Khera,822,131.0,26.6990213,81.0188725,26.7038101,81.0293801,26.6934801,81.01084
122912,Dedamai,757,344.0,27.7605481,78.0580609,27.76641,78.06556,27.74709,78.04753
122913,Jasrana,757,300.0,27.2306399,78.6540576,27.2482736,78.6606559,27.2219009,78.6406212
122914,Susayat Khurd,757,165.0,27.7551917,78.0794561,27.77099,78.09727,27.75068,78.0716899
122916,Susayat Kalan,757,305.0,27.7509033,78.0965691,27.75975,78.1114901,27.73589,78.07796
122918,Mamauta Kalan,757,614.0,27.7581649,78.1136794,27.7659701,78.1315801,27.7517499,78.10327
122920,Tatarpur Mauharia,757,175.0,27.7455386,78.1179566,27.75275,78.1251099,27.7394999,78.1118
122921,Naujarpur,757,120.0,27.7518096,78.1236592,27.75525,78.13189,27.7439699,78.1150699
122922,Basai Kazi,757,448.0,27.7601417,78.1364889,27.77121,78.14135,27.74668,78.1229099
122923,Nagla Loka,757,197.0,27.7444222,78.1300742,27.7498499,78.1352501,27.7395299,78.1251099
122924,Sikur Akbarpur,757,624.0,27.737034,78.1364889,27.74804,78.16261,27.7265201,78.1283599
122925,Nadauna Nagla Lachhi,757,437.0,27.7553517,78.1478918,27.77147,78.16216,27.7449201,78.1377799
122926,Khitauli Katailiya,757,525.0,27.7489018,78.1735438,27.7655399,78.1844301,27.7365601,78.1526899
143709,Paraspur Thaththa,822,243.0,26.595652,80.9788187,26.6037301,80.9893301,26.58764,80.9694301
122929,Nagla Kashi,757,123.0,28.5844296,77.6750869,28.5906201,77.68257,28.57784,77.6671399
122932,Jalalpur Sasni,757,329.0,27.7097131,78.1379143,27.71898,78.1499099,27.70359,78.1250501
122933,Vadhanu Shikohabad,757,450.0,27.7028599,78.1421905,27.71313,78.1561099,27.6914301,78.1261701
122935,Ninamai,757,272.0,27.6995414,78.1706939,27.7047399,78.18371,27.68832,78.16333
122936,Chandaiya,757,150.0,27.7010142,78.1877922,27.71312,78.2017001,27.69519,78.1730301
122938,Nagla Fatela,757,230.0,27.7337376,78.1151052,27.74134,78.1227799,27.7245399,78.10863
143711,Barbaliya,822,355.0,27.2704381,81.0105872,27.27513,81.0197301,27.2653901,81.0018499
122942,Khera Firozpur,757,199.0,27.7192944,78.1151052,27.7223101,78.1215699,27.7164599,78.11099
122944,Gopalpur Urf Bhootpura,757,270.0,27.7130225,78.1094021,27.71717,78.11754,27.7048401,78.10342
143712,Gaura,822,1021.0,25.7782438,82.8128918,25.7881601,82.82227,25.7700298,82.8026701
122946,Nagla Singh,757,234.0,27.7147513,78.1293615,27.7204999,78.13709,27.7071501,78.12164
122947,Virra,757,382.0,27.700393,78.1136794,27.7111,78.1301001,27.69551,78.1062199
122948,Sasni Dehat,757,371.0,27.7060081,78.0951431,27.7103101,78.0997162,27.7009838,78.090909
122951,Nagla Kehariya,757,166.0,27.6911451,78.1236592,27.7004501,78.12972,27.6832601,78.1134
122952,Bilkhaura Kalan,757,201.0,27.7431433,78.0737511,27.7524799,78.08214,27.736,78.0602601
122953,Bilkhaura Khurd,757,116.0,27.7367911,78.0837346,27.74313,78.0914699,27.7290699,78.0758399
122954,Nagla Bhoora,757,167.0,27.740423,78.0922911,27.74788,78.0977598,27.7346201,78.08545
122955,Samamai Ruhal,757,927.0,27.7220197,78.0965691,27.7393,78.10988,27.70821,78.08093
122956,Rodayan,757,557.0,27.7284541,78.0708985,27.7396801,78.08626,27.7158699,78.0594401
143714,Hulas Khera,822,1028.0,26.6394693,81.0302634,26.6415516,81.0317016,26.6379073,81.0285258
122958,Jirauli,757,493.0,28.2757371,78.2276776,28.28369,78.2414001,28.26206,78.2196699
122959,Dinavali,757,137.0,27.7138421,78.0523548,27.72165,78.05819,27.6981999,78.0361299
122960,Nagla Garhu,757,248.0,27.7041822,78.0409416,27.71553,78.05367,27.69124,78.02907
122961,Lauharra,757,534.0,27.7022096,78.0680458,27.72148,78.08018,27.6886401,78.05341
122962,Jaraiya Gada Khera,757,553.0,27.7131879,78.0780299,27.71832,78.08355,27.7065601,78.0715299
143715,Dada Sikandar Pur,822,164.0,26.6624066,81.0174917,26.66783,81.0261201,26.6554599,81.0111299
122966,Basgoi,757,790.0,27.6991844,78.0088463,27.71475,78.0270901,27.6793,77.99577
122967,Chhaura Gadaua,757,590.0,27.6876733,78.0338078,27.70029,78.0498401,27.6753301,78.0218201
122968,Hardpur,757,258.0,27.6766916,78.0238197,27.6845,78.0311599,27.6662801,78.0112401
143716,Gadiyana,822,180.0,26.6519154,81.0133491,26.6583499,81.0188101,26.64691,81.0068099
143691,Rambhan Khera,822,277.0,26.6869829,81.0133491,26.69481,81.0221399,26.68223,81.00381
122971,Sumarat Garhi,757,229.0,27.6697663,78.043795,27.6754,78.0517899,27.6616799,78.0367799
122974,Garhi Nandram,757,164.0,27.655685,78.0231062,27.66141,78.02846,27.64954,78.01768
122976,Raghaniya,757,461.0,27.6549934,78.0566344,27.66858,78.06246,27.64418,78.0425301
122977,Mahmud Barsai,757,622.0,27.6622596,78.0737511,27.67765,78.0855798,27.65006,78.0600701
122979,Ruheri,757,886.0,27.6368318,78.0637667,27.64444,78.0746301,27.62928,78.0488901
122980,Nagla Ummed,757,173.0,27.6305568,78.0580609,27.6364801,78.0678199,27.6260099,78.04959
143718,Ahmadpur Khalsa,822,156.0,26.6400499,81.0105872,26.6446999,81.01589,26.63318,81.0032
122984,Jagipur,757,337.0,27.6511972,78.0794561,27.65754,78.0872001,27.63867,78.0675399
122985,Darkaula,757,172.0,27.6579659,78.0908651,27.66515,78.09743,27.6514301,78.0836699
122986,Darkauli,757,178.0,27.651607,78.100847,27.65833,78.10719,27.64694,78.09645
122987,Khorna,757,193.0,27.647976,78.0922911,27.65314,78.0992001,27.6436499,78.08321
122991,Akhaipur,757,247.0,27.6353427,78.0965691,27.6477501,78.10896,27.6252399,78.09056
143720,Gaureya Khurd,822,147.0,26.6696501,81.0395821,26.67808,81.04892,26.6626901,81.0337999
143760,Meerakh Nagar,822,823.0,26.5843933,81.0782253,26.59715,81.09026,26.5636699,81.0653099
122995,Mirgamai,757,159.0,27.625845,78.1036988,27.6349699,78.1095099,27.6204001,78.0961701
122996,Ajitpur,757,180.0,28.7667765,79.0397862,28.7734579,79.0445471,28.75912,79.0332019
122997,Rampur,757,719.0,25.4842209,82.5916032,25.4882,82.59499,25.47884,82.5731599
122998,Bijahari,757,1746.0,27.6916462,78.0794561,27.70235,78.09013,27.6804401,78.07035
123000,Tilothi,757,423.0,27.685279,78.1025859,27.69604,78.12262,27.6738101,78.08883
123001,Bhojgarhi,757,629.0,27.6762913,78.1022729,27.68035,78.1188401,27.66765,78.0897399
123002,Ajroi,757,332.0,27.6753021,78.0908651,27.6858082,78.1032658,27.6681358,78.07271
123003,Lutsan,757,1000.0,27.6679503,78.1143923,27.6695612,78.1164193,27.6645441,78.110497
123004,Sisahari,757,190.0,27.6729804,78.130787,27.68006,78.13998,27.66294,78.11828
123006,Kheriya,757,267.0,27.1456028,77.9617297,27.1504411,77.9740495,27.1422288,77.9522725
123010,Amokhri,757,165.0,27.6764243,78.1706939,27.68645,78.17538,27.6662099,78.1602199
123011,Dhatroi,757,144.0,27.671626,78.1820931,27.68475,78.19083,27.66294,78.1727599
123013,Sheikhupur Ajit,757,339.0,27.6615356,78.1991896,27.6736899,78.2154799,27.65427,78.1868599
123015,Chhonk,757,416.0,27.6719182,78.219132,27.6850599,78.2328,27.6584001,78.20929
123016,Bahta,757,169.0,27.6494847,78.1934911,27.6608199,78.2039,27.6388599,78.1836298
123017,Salempur,757,678.0,26.293939,83.9241376,26.3101119,83.9366198,26.286066,83.9069223
123018,Thulai,757,230.0,27.658687,78.2333743,27.66825,78.24285,27.64789,78.22121
143726,Achalikhera,822,373.0,26.6738234,81.1058159,26.68732,81.11787,26.66575,81.0778999
143728,Balsingh Khera,822,355.0,26.6486371,81.1120224,26.6506039,81.1146998,26.6458284,81.1091638
143731,Kankaha,822,1241.0,26.6324937,81.0181821,26.6350495,81.0221958,26.6299091,81.0157157
143561,Mastemau,822,344.0,26.809182,81.0285377,26.8186499,81.04124,26.7869599,81.0184699
143562,Marhar Mau Khurd,822,372.0,26.7803251,81.0340601,26.7878799,81.04839,26.7722799,81.02472
